repository_language,month,pushes
Arc,2014-03-01,68
RobotFramework,2014-03-01,33
Parrot,2014-03-01,89
Boo,2014-03-01,104
Pike,2014-03-01,122
Haxe,2014-03-01,3048
Ceylon,2014-03-01,73
Mirah,2014-03-01,5
Matlab,2014-03-01,12288
Nimrod,2014-03-01,346
Erlang,2014-03-01,8449
Common Lisp,2014-03-01,3916
D,2014-03-01,4981
Gosu,2014-03-01,209
ASP,2014-03-01,4479
XSLT,2014-03-01,5175
Go,2014-03-01,38318
CoffeeScript,2014-03-01,33629
Haskell,2014-03-01,20103
Scala,2014-03-01,30145
Perl,2014-03-01,40537
ABAP,2014-03-01,12
Ioke,2014-03-01,5
Rebol,2014-03-01,35
Forth,2014-03-01,15
Objective-C,2014-03-01,85298
Fantom,2014-03-01,21
Ragel in Ruby Host,2014-03-01,27
HaXe,2014-03-01,88
Vala,2014-03-01,1526
Apex,2014-03-01,807
Puppet,2014-03-01,12955
BlitzBasic,2014-03-01,1171
XML,2014-03-01,1065
Agda,2014-03-01,319
UnrealScript,2014-03-01,302
Rust,2014-03-01,5620
Squirrel,2014-03-01,193
VHDL,2014-03-01,2718
Eiffel,2014-03-01,449
Coq,2014-03-01,610
Brightscript,2014-03-01,175
Bro,2014-03-01,30
OCaml,2014-03-01,5338
Pascal,2014-03-01,3641
Idris,2014-03-01,83
Objective-J,2014-03-01,289
Perl6,2014-03-01,207
Lasso,2014-03-01,571
KRL,2014-03-01,3220
Elm,2014-03-01,299
wisp,2014-03-01,64
Pure Data,2014-03-01,371
Opa,2014-03-01,5
Tcl,2014-03-01,988
DOT,2014-03-01,897
PogoScript,2014-03-01,8
Julia,2014-03-01,4762
Kotlin,2014-03-01,451
NetLogo,2014-03-01,227
LiveScript,2014-03-01,1640
ColdFusion,2014-03-01,946
xBase,2014-02-01,318
Agda,2014-02-01,297
HaXe,2014-02-01,73
Logos,2014-02-01,675
Squirrel,2014-02-01,107
Io,2014-02-01,81
ANTLR,2014-02-01,43
Elm,2014-02-01,177
Nimrod,2014-02-01,285
Gosu,2014-02-01,333
CLIPS,2014-02-01,31
AppleScript,2014-02-01,599
XQuery,2014-02-01,377
REALbasic,2014-02-01,70
Dylan,2014-02-01,141
COBOL,2014-02-01,101
Bluespec,2014-02-01,213
PowerShell,2014-02-01,3336
Elixir,2014-02-01,2017
Julia,2014-02-01,4063
DM,2014-02-01,1931
Scilab,2014-02-01,162
AutoHotkey,2014-02-01,1260
UnrealScript,2014-02-01,453
Ecl,2014-02-01,38
Brightscript,2014-02-01,251
Coq,2014-02-01,645
AutoIt,2014-02-01,316
M,2014-02-01,419
Ada,2014-02-01,394
Turing,2014-02-01,16
Apex,2014-02-01,938
MoonScript,2014-02-01,242
Opa,2014-02-01,3
Fantom,2014-02-01,5
Volt,2014-02-01,20
Boo,2014-02-01,126
Bro,2014-02-01,22
Clean,2014-02-01,70
Crystal,2014-02-01,65
ooc,2014-02-01,96
Forth,2014-02-01,11
Oxygene,2014-02-01,20
Self,2014-02-01,5
Awk,2014-02-01,143
Prolog,2014-02-01,113
Ioke,2014-02-01,1
J,2014-02-01,57
Augeas,2014-02-01,51
XProc,2014-02-01,67
Monkey,2014-02-01,32
Ragel in Ruby Host,2014-02-01,18
Omgrofl,2014-02-01,15
Rebol,2014-02-01,32
Pure Data,2014-02-01,244
DCPU-16-01 ASM,2014-02-01,15
Delphi,2014-02-01,48
RobotFramework,2014-02-01,17
Kotlin,2014-02-01,207
Glyph,2014-02-01,16
Factor,2014-02-01,98
Logtalk,2014-02-01,121
Idris,2014-02-01,114
KRL,2014-02-01,2913
NetLogo,2014-02-01,180
Smalltalk,2014-02-01,476
Tcl,2014-02-01,1072
C#,2014-02-01,106352
C++,2014-02-01,236938
Clojure,2014-02-01,14123
Arduino,2014-02-01,5509
TeX,2014-02-01,33245
Scala,2014-02-01,26534
Shell,2014-02-01,136554
CSS,2014-02-01,358542
R,2014-02-01,20914
nesC,2014-02-01,1288
PHP,2014-02-01,351792
Eiffel,2014-02-01,136
Objective-C,2014-02-01,71454
Go,2014-02-01,33539
OCaml,2014-02-01,4900
Matlab,2014-02-01,10137
Perl,2014-02-01,35189
Dart,2014-02-01,5353
Lua,2014-02-01,18392
Emacs Lisp,2014-02-01,17400
Haskell,2014-02-01,16946
ABAP,2014-02-01,5
Perl6,2014-02-01,194
Nemerle,2014-02-01,155
Ceylon,2014-02-01,80
SuperCollider,2014-02-01,197
Arc,2014-02-01,50
Parrot,2014-02-01,47
Fancy,2014-02-01,1
Nu,2014-02-01,4
Mirah,2014-02-01,15
Xtend,2014-02-01,276
VimL,2014-02-01,37502
wisp,2014-02-01,24
Slash,2014-02-01,67
PogoScript,2014-02-01,14
JavaScript,2014-02-01,751264
,2014-02-01,545072
C,2014-02-01,208538
Python,2014-02-01,502228
Ruby,2014-02-01,342268
Java,2014-02-01,520040
Max,2014-02-01,661
Standard ML,2014-02-01,1033
XSLT,2014-02-01,4330
XML,2014-02-01,1056
Groovy,2014-02-01,10396
FORTRAN,2014-02-01,2738
LiveScript,2014-02-01,903
Vala,2014-02-01,1212
Processing,2014-02-01,2886
Common Lisp,2014-02-01,3459
Haxe,2014-02-01,2853
Visual Basic,2014-02-01,3813
D,2014-02-01,5170
ASP,2014-02-01,4284
IDL,2014-02-01,1928
VHDL,2014-02-01,2543
Pascal,2014-02-01,3210
XC,2014-02-01,181
BlitzBasic,2014-02-01,1142
OpenEdge ABL,2014-02-01,582
Verilog,2014-02-01,1207
Lasso,2014-02-01,462
Puppet,2014-02-01,10833
Racket,2014-02-01,1706
F#,2014-02-01,2684
ActionScript,2014-02-01,5687
CoffeeScript,2014-02-01,28055
TypeScript,2014-02-01,10594
Scheme,2014-02-01,3772
Objective-J,2014-02-01,446
DOT,2014-02-01,833
Assembly,2014-02-01,4028
ColdFusion,2014-02-01,1423
Pike,2014-02-01,138
Erlang,2014-02-01,7206
Rust,2014-02-01,6217
Ada,2014-01-01,443
Boo,2014-01-01,86
Visual Basic,2014-01-01,3498
Prolog,2014-01-01,166
Bluespec,2014-01-01,200
NetLogo,2014-01-01,82
PogoScript,2014-01-01,25
Fantom,2014-01-01,12
DCPU-16-01 ASM,2014-01-01,76
ooc,2014-01-01,175
Nimrod,2014-01-01,169
Self,2014-01-01,13
ABAP,2014-01-01,8
Crystal,2014-01-01,113
Ecl,2014-01-01,29
Logtalk,2014-01-01,125
Arc,2014-01-01,89
Nemerle,2014-01-01,125
Elm,2014-01-01,300
Oxygene,2014-01-01,21
Delphi,2014-01-01,32
Idris,2014-01-01,117
ANTLR,2014-01-01,81
Kotlin,2014-01-01,211
Ceylon,2014-01-01,192
Nu,2014-01-01,13
MoonScript,2014-01-01,156
Bro,2014-01-01,40
Smalltalk,2014-01-01,463
Coq,2014-01-01,715
Monkey,2014-01-01,24
Factor,2014-01-01,57
Augeas,2014-01-01,35
Common Lisp,2014-01-01,4690
Dylan,2014-01-01,238
M,2014-01-01,496
XML,2014-01-01,1311
XQuery,2014-01-01,394
Dart,2014-01-01,5150
DM,2014-01-01,2753
Ragel in Ruby Host,2014-01-01,17
ActionScript,2014-01-01,6946
OCaml,2014-01-01,5591
VHDL,2014-01-01,2290
Haskell,2014-01-01,18050
R,2014-01-01,22432
Lua,2014-01-01,20963
Volt,2014-01-01,20
Processing,2014-01-01,4107
Emacs Lisp,2014-01-01,19049
ColdFusion,2014-01-01,1436
REALbasic,2014-01-01,60
Rouge,2014-01-01,5
COBOL,2014-01-01,158
Turing,2014-01-01,21
CLIPS,2014-01-01,65
Awk,2014-01-01,256
FORTRAN,2014-01-01,2582
nesC,2014-01-01,1316
Standard ML,2014-01-01,720
AutoHotkey,2014-01-01,797
Vala,2014-01-01,1405
DOT,2014-01-01,1184
ASP,2014-01-01,3033
Brightscript,2014-01-01,195
Pure Data,2014-01-01,152
PowerShell,2014-01-01,3415
Puppet,2014-01-01,10872
C++,2014-01-01,235408
PHP,2014-01-01,361341
Perl,2014-01-01,37549
TeX,2014-01-01,32177
Shell,2014-01-01,139162
Scala,2014-01-01,26682
CSS,2014-01-01,333915
JavaScript,2014-01-01,755947
Matlab,2014-01-01,9964
Java,2014-01-01,521002
Julia,2014-01-01,3476
VimL,2014-01-01,39678
Ruby,2014-01-01,347480
Python,2014-01-01,386676
,2014-01-01,496217
C,2014-01-01,214970
D,2014-01-01,4283
Go,2014-01-01,33647
wisp,2014-01-01,1
Opa,2014-01-01,2
BlitzBasic,2014-01-01,1279
Glyph,2014-01-01,15
Ioke,2014-01-01,2
Rust,2014-01-01,6205
Arduino,2014-01-01,5111
HaXe,2014-01-01,114
Clojure,2014-01-01,15141
Objective-C,2014-01-01,69212
CoffeeScript,2014-01-01,27146
TypeScript,2014-01-01,11098
Erlang,2014-01-01,7503
Groovy,2014-01-01,9154
C#,2014-01-01,107750
Racket,2014-01-01,1772
Scheme,2014-01-01,3489
Verilog,2014-01-01,1089
Elixir,2014-01-01,1714
Fancy,2014-01-01,1
Apex,2014-01-01,510
Xtend,2014-01-01,288
Tcl,2014-01-01,1147
F#,2014-01-01,2640
OpenEdge ABL,2014-01-01,719
UnrealScript,2014-01-01,561
J,2014-01-01,15
SuperCollider,2014-01-01,257
AppleScript,2014-01-01,604
Pike,2014-01-01,114
eC,2014-01-01,1
IDL,2014-01-01,2854
XC,2014-01-01,180
KRL,2014-01-01,36
xBase,2014-01-01,338
Scilab,2014-01-01,176
Logos,2014-01-01,1080
Perl6,2014-01-01,299
XProc,2014-01-01,105
TXL,2014-01-01,1
Assembly,2014-01-01,3446
XSLT,2014-01-01,5456
Mirah,2014-01-01,12
Clean,2014-01-01,25
Gosu,2014-01-01,207
Squirrel,2014-01-01,105
Slash,2014-01-01,337
Forth,2014-01-01,30
AutoIt,2014-01-01,379
LiveScript,2014-01-01,912
Io,2014-01-01,159
Eiffel,2014-01-01,378
Parrot,2014-01-01,76
Omgrofl,2014-01-01,4
Rebol,2014-01-01,2
Objective-J,2014-01-01,376
Agda,2014-01-01,310
Max,2014-01-01,493
Lasso,2014-01-01,454
Pascal,2014-01-01,2847
Haxe,2014-01-01,2773
BlitzBasic,2013-12-01,781
REALbasic,2013-12-01,24
Pike,2013-12-01,90
AppleScript,2013-12-01,313
M,2013-12-01,412
Io,2013-12-01,92
Bro,2013-12-01,34
ooc,2013-12-01,116
Idris,2013-12-01,67
XProc,2013-12-01,46
PogoScript,2013-12-01,29
ABAP,2013-12-01,2
HaXe,2013-12-01,139
Delphi,2013-12-01,39
AutoIt,2013-12-01,211
Eiffel,2013-12-01,354
XQuery,2013-12-01,221
Elixir,2013-12-01,1799
Elm,2013-12-01,296
Julia,2013-12-01,2789
LiveScript,2013-12-01,1007
xBase,2013-12-01,216
Lasso,2013-12-01,563
Coq,2013-12-01,803
Apex,2013-12-01,351
RobotFramework,2013-12-01,2
Max,2013-12-01,492
SuperCollider,2013-12-01,259
KRL,2013-12-01,142
Objective-J,2013-12-01,367
Nimrod,2013-12-01,383
Factor,2013-12-01,78
Mirah,2013-12-01,15
DM,2013-12-01,1726
Agda,2013-12-01,277
XC,2013-12-01,188
Scilab,2013-12-01,124
Smalltalk,2013-12-01,414
AutoHotkey,2013-12-01,604
TXL,2013-12-01,17
Awk,2013-12-01,210
Ceylon,2013-12-01,201
MoonScript,2013-12-01,120
Tcl,2013-12-01,905
Logtalk,2013-12-01,90
UnrealScript,2013-12-01,267
Gosu,2013-12-01,179
Xtend,2013-12-01,184
Squirrel,2013-12-01,132
Brightscript,2013-12-01,231
Dylan,2013-12-01,145
Pure Data,2013-12-01,214
nesC,2013-12-01,728
Ada,2013-12-01,498
Fancy,2013-12-01,3
Boo,2013-12-01,132
Turing,2013-12-01,2
Vala,2013-12-01,1268
Rebol,2013-12-01,7
Matlab,2013-12-01,13157
Nu,2013-12-01,4
J,2013-12-01,34
NetLogo,2013-12-01,107
ANTLR,2013-12-01,28
Crystal,2013-12-01,25
Perl6,2013-12-01,64
Ragel in Ruby Host,2013-12-01,24
CLIPS,2013-12-01,31
IDL,2013-12-01,324
TypeScript,2013-12-01,7895
ActionScript,2013-12-01,7732
Forth,2013-12-01,7
Ecl,2013-12-01,17
Assembly,2013-12-01,3008
ColdFusion,2013-12-01,989
Logos,2013-12-01,5926
Puppet,2013-12-01,9539
Rust,2013-12-01,4470
Racket,2013-12-01,1625
TeX,2013-12-01,28378
Volt,2013-12-01,11
Scala,2013-12-01,22599
C++,2013-12-01,220012
C,2013-12-01,198514
Java,2013-12-01,481495
JavaScript,2013-12-01,671949
Glyph,2013-12-01,23
DCPU-16-01 ASM,2013-12-01,14
Python,2013-12-01,330947
VimL,2013-12-01,36125
Go,2013-12-01,28412
CSS,2013-12-01,309269
,2013-12-01,415684
Haskell,2013-12-01,15243
R,2013-12-01,15271
PHP,2013-12-01,302210
Shell,2013-12-01,136196
Erlang,2013-12-01,6931
Objective-C,2013-12-01,62551
Verilog,2013-12-01,1676
Groovy,2013-12-01,7655
C#,2013-12-01,95391
Emacs Lisp,2013-12-01,17120
Perl,2013-12-01,31724
Scheme,2013-12-01,2454
OCaml,2013-12-01,6668
Pascal,2013-12-01,1626
DOT,2013-12-01,1269
Prolog,2013-12-01,2062
Clojure,2013-12-01,12414
Processing,2013-12-01,4053
Lua,2013-12-01,17818
OpenEdge ABL,2013-12-01,713
Arduino,2013-12-01,4590
wisp,2013-12-01,20
Bluespec,2013-12-01,171
Nemerle,2013-12-01,187
F#,2013-12-01,2497
Slash,2013-12-01,191
D,2013-12-01,4237
Fantom,2013-12-01,9
Ruby,2013-12-01,313487
Clean,2013-12-01,15
Monkey,2013-12-01,21
PowerShell,2013-12-01,2965
COBOL,2013-12-01,57
Parrot,2013-12-01,52
Common Lisp,2013-12-01,3155
VHDL,2013-12-01,1528
FORTRAN,2013-12-01,2193
CoffeeScript,2013-12-01,25216
Augeas,2013-12-01,45
XML,2013-12-01,1179
Self,2013-12-01,2
ASP,2013-12-01,2710
Oxygene,2013-12-01,1492
Dart,2013-12-01,3594
Haxe,2013-12-01,2121
XSLT,2013-12-01,3815
Standard ML,2013-12-01,824
Kotlin,2013-12-01,124
Arc,2013-12-01,44
Visual Basic,2013-12-01,2980
Augeas,2013-11-01,31
TXL,2013-11-01,1
Factor,2013-11-01,624
Ragel in Ruby Host,2013-11-01,54
Nu,2013-11-01,10
Bro,2013-11-01,40
Rebol,2013-11-01,21
Fancy,2013-11-01,10
HaXe,2013-11-01,90
J,2013-11-01,64
Mirah,2013-11-01,3
Python,2013-11-01,354225
Visual Basic,2013-11-01,2896
F#,2013-11-01,2078
AutoHotkey,2013-11-01,849
Kotlin,2013-11-01,172
Lasso,2013-11-01,669
OpenEdge ABL,2013-11-01,1678
Ada,2013-11-01,512
Pure Data,2013-11-01,367
Processing,2013-11-01,3288
Elixir,2013-11-01,1453
SuperCollider,2013-11-01,619
VHDL,2013-11-01,1801
PowerShell,2013-11-01,2929
Dart,2013-11-01,3653
ASP,2013-11-01,3905
Standard ML,2013-11-01,944
Objective-J,2013-11-01,212
Coq,2013-11-01,874
Slash,2013-11-01,297
Verilog,2013-11-01,2090
Smalltalk,2013-11-01,350
XSLT,2013-11-01,4277
XQuery,2013-11-01,346
Puppet,2013-11-01,10860
Assembly,2013-11-01,2957
DOT,2013-11-01,1395
Vala,2013-11-01,1105
Scheme,2013-11-01,2349
R,2013-11-01,15973
Nimrod,2013-11-01,213
Io,2013-11-01,132
Dylan,2013-11-01,139
Logtalk,2013-11-01,74
wisp,2013-11-01,14
Arc,2013-11-01,9
Forth,2013-11-01,34
PogoScript,2013-11-01,22
Squirrel,2013-11-01,262
AppleScript,2013-11-01,136
Ecl,2013-11-01,20
Eiffel,2013-11-01,291
Xtend,2013-11-01,248
Delphi,2013-11-01,161
ABAP,2013-11-01,11
Pike,2013-11-01,79
Ceylon,2013-11-01,196
Gosu,2013-11-01,145
Boo,2013-11-01,130
XML,2013-11-01,493
MoonScript,2013-11-01,65
Nemerle,2013-11-01,254
Tcl,2013-11-01,1187
LiveScript,2013-11-01,546
Parrot,2013-11-01,107
Elm,2013-11-01,316
Scilab,2013-11-01,149
Awk,2013-11-01,212
PHP,2013-11-01,315372
Scala,2013-11-01,25492
FORTRAN,2013-11-01,3052
Perl,2013-11-01,35682
OCaml,2013-11-01,5490
C,2013-11-01,200827
Go,2013-11-01,25741
,2013-11-01,472200
Java,2013-11-01,523247
Rouge,2013-11-01,6
CLIPS,2013-11-01,15
Matlab,2013-11-01,14279
XProc,2013-11-01,35
Ruby,2013-11-01,337189
XC,2013-11-01,272
Volt,2013-11-01,5
Logos,2013-11-01,8071
ActionScript,2013-11-01,6986
ooc,2013-11-01,42
C++,2013-11-01,240963
JavaScript,2013-11-01,683018
CSS,2013-11-01,321011
Self,2013-11-01,8
Fantom,2013-11-01,1
COBOL,2013-11-01,23
Monkey,2013-11-01,6
Max,2013-11-01,15
DCPU-16-01 ASM,2013-11-01,7
CoffeeScript,2013-11-01,25105
M,2013-11-01,607
Racket,2013-11-01,2505
D,2013-11-01,4461
ColdFusion,2013-11-01,1382
Pascal,2013-11-01,2627
Clojure,2013-11-01,11781
Prolog,2013-11-01,4109
Haskell,2013-11-01,15248
TypeScript,2013-11-01,5954
Common Lisp,2013-11-01,3617
VimL,2013-11-01,36228
Julia,2013-11-01,2330
eC,2013-11-01,1
Apex,2013-11-01,436
Turing,2013-11-01,6
Arduino,2013-11-01,4485
Lua,2013-11-01,15528
C#,2013-11-01,98346
Shell,2013-11-01,135590
Emacs Lisp,2013-11-01,17008
Objective-C,2013-11-01,67018
Haxe,2013-11-01,2081
Groovy,2013-11-01,8619
Rust,2013-11-01,4183
Erlang,2013-11-01,7810
Opa,2013-10-01,1
Nimrod,2013-10-01,211
ABAP,2013-10-01,2
Ceylon,2013-10-01,135
Rebol,2013-10-01,4
CLIPS,2013-10-01,27
HaXe,2013-10-01,118
LiveScript,2013-10-01,518
wisp,2013-10-01,1
Turing,2013-10-01,1
Groovy,2013-10-01,9573
AppleScript,2013-10-01,187
Apex,2013-10-01,409
Lasso,2013-10-01,576
Scilab,2013-10-01,177
Parrot,2013-10-01,273
VimL,2013-10-01,36602
Standard ML,2013-10-01,1167
ActionScript,2013-10-01,5849
Ada,2013-10-01,767
Go,2013-10-01,25265
XSLT,2013-10-01,4278
Scala,2013-10-01,26696
FORTRAN,2013-10-01,2475
Emacs Lisp,2013-10-01,17507
Vala,2013-10-01,1021
Io,2013-10-01,116
Eiffel,2013-10-01,359
SuperCollider,2013-10-01,461
Ecl,2013-10-01,68
Smalltalk,2013-10-01,479
MoonScript,2013-10-01,46
ASP,2013-10-01,3334
VHDL,2013-10-01,1653
Haxe,2013-10-01,1581
Awk,2013-10-01,213
Squirrel,2013-10-01,93
OpenEdge ABL,2013-10-01,1154
ColdFusion,2013-10-01,1402
Arduino,2013-10-01,4030
Slash,2013-10-01,430
Lua,2013-10-01,14141
Visual Basic,2013-10-01,3290
Processing,2013-10-01,2676
TypeScript,2013-10-01,5569
OCaml,2013-10-01,5259
Pascal,2013-10-01,3134
Scheme,2013-10-01,2804
DOT,2013-10-01,1443
Logos,2013-10-01,5676
Haskell,2013-10-01,17070
F#,2013-10-01,2148
Assembly,2013-10-01,2440
CoffeeScript,2013-10-01,25026
PowerShell,2013-10-01,2622
Tcl,2013-10-01,895
Dart,2013-10-01,3032
Racket,2013-10-01,2760
Prolog,2013-10-01,2110
Julia,2013-10-01,2480
Elixir,2013-10-01,1614
Nemerle,2013-10-01,290
Verilog,2013-10-01,1363
Rust,2013-10-01,4290
AutoHotkey,2013-10-01,708
Common Lisp,2013-10-01,3333
Coq,2013-10-01,513
Factor,2013-10-01,130
Ragel in Ruby Host,2013-10-01,13
eC,2013-10-01,1
Mirah,2013-10-01,3
Arc,2013-10-01,34
Gosu,2013-10-01,271
Fantom,2013-10-01,9
Nu,2013-10-01,9
Elm,2013-10-01,26
Fancy,2013-10-01,62
COBOL,2013-10-01,16
PogoScript,2013-10-01,8
Volt,2013-10-01,2
M,2013-10-01,384
Max,2013-10-01,8
Bro,2013-10-01,50
Pike,2013-10-01,32
XML,2013-10-01,687
Pure Data,2013-10-01,156
Kotlin,2013-10-01,190
XQuery,2013-10-01,276
Self,2013-10-01,2
Boo,2013-10-01,94
Monkey,2013-10-01,16
Dylan,2013-10-01,43
XC,2013-10-01,406
Forth,2013-10-01,30
Python,2013-10-01,353859
Clojure,2013-10-01,13689
R,2013-10-01,16442
Perl,2013-10-01,36316
Puppet,2013-10-01,12439
D,2013-10-01,4004
Matlab,2013-10-01,11609
Erlang,2013-10-01,7174
C++,2013-10-01,229710
Objective-C,2013-10-01,64142
C,2013-10-01,192613
C#,2013-10-01,88584
Java,2013-10-01,472524
Ruby,2013-10-01,350320
Augeas,2013-10-01,43
CSS,2013-10-01,299209
,2013-10-01,567002
PHP,2013-10-01,318690
Shell,2013-10-01,147452
JavaScript,2013-10-01,665083
Logtalk,2013-10-01,79
Objective-J,2013-10-01,137
Xtend,2013-10-01,162
XProc,2013-10-01,18
ooc,2013-10-01,51
DCPU-16-01 ASM,2013-10-01,3
Delphi,2013-10-01,168
Haxe,2013-09-01,1436
PowerShell,2013-09-01,2201
Arduino,2013-09-01,3625
TypeScript,2013-09-01,5066
Racket,2013-09-01,2414
Processing,2013-09-01,2069
Delphi,2013-09-01,1801
Apex,2013-09-01,315
Standard ML,2013-09-01,552
Xtend,2013-09-01,138
Dart,2013-09-01,2144
SuperCollider,2013-09-01,527
OpenEdge ABL,2013-09-01,681
Assembly,2013-09-01,2083
M,2013-09-01,256
XQuery,2013-09-01,251
Nimrod,2013-09-01,95
HaXe,2013-09-01,102
AppleScript,2013-09-01,180
Ceylon,2013-09-01,84
XSLT,2013-09-01,3333
Coq,2013-09-01,447
Matlab,2013-09-01,8606
Verilog,2013-09-01,999
Emacs Lisp,2013-09-01,14295
Pascal,2013-09-01,1167
LiveScript,2013-09-01,298
Common Lisp,2013-09-01,2698
Kotlin,2013-09-01,106
Lasso,2013-09-01,382
ASP,2013-09-01,2049
FORTRAN,2013-09-01,2012
Clojure,2013-09-01,10489
Tcl,2013-09-01,711
Ada,2013-09-01,294
Rust,2013-09-01,3329
ColdFusion,2013-09-01,1439
Prolog,2013-09-01,1692
Scheme,2013-09-01,2000
Squirrel,2013-09-01,60
Self,2013-09-01,9
Dylan,2013-09-01,65
Nu,2013-09-01,9
Ragel in Ruby Host,2013-09-01,13
Max,2013-09-01,12
Forth,2013-09-01,23
Augeas,2013-09-01,9
Boo,2013-09-01,27
Parrot,2013-09-01,181
Objective-J,2013-09-01,68
eC,2013-09-01,38
MoonScript,2013-09-01,76
Awk,2013-09-01,153
XML,2013-09-01,434
XC,2013-09-01,111
Arc,2013-09-01,20
Scilab,2013-09-01,158
Logtalk,2013-09-01,89
Bro,2013-09-01,25
Elixir,2013-09-01,1289
Slash,2013-09-01,280
Vala,2013-09-01,1307
DOT,2013-09-01,1238
Factor,2013-09-01,116
F#,2013-09-01,1171
Julia,2013-09-01,1525
Nemerle,2013-09-01,317
Logos,2013-09-01,3829
Smalltalk,2013-09-01,418
Pike,2013-09-01,20
Gosu,2013-09-01,190
Pure Data,2013-09-01,116
DCPU-16-01 ASM,2013-09-01,97
XProc,2013-09-01,40
Ecl,2013-09-01,47
Rebol,2013-09-01,16
Python,2013-09-01,282766
JavaScript,2013-09-01,548990
C#,2013-09-01,65588
Groovy,2013-09-01,5956
Visual Basic,2013-09-01,2841
C,2013-09-01,151354
CSS,2013-09-01,234441
,2013-09-01,433269
C++,2013-09-01,176528
Erlang,2013-09-01,6392
Ruby,2013-09-01,271807
Go,2013-09-01,21688
Monkey,2013-09-01,15
wisp,2013-09-01,3
Rouge,2013-09-01,1
Opa,2013-09-01,6
PogoScript,2013-09-01,1
COBOL,2013-09-01,4
ABAP,2013-09-01,7
Mirah,2013-09-01,7
CLIPS,2013-09-01,7
Fancy,2013-09-01,6
Shell,2013-09-01,103020
D,2013-09-01,3365
Io,2013-09-01,85
AutoHotkey,2013-09-01,704
VHDL,2013-09-01,999
Lua,2013-09-01,13070
Perl,2013-09-01,31770
VimL,2013-09-01,32372
Scala,2013-09-01,21277
OCaml,2013-09-01,4087
Objective-C,2013-09-01,50137
R,2013-09-01,11637
Puppet,2013-09-01,9807
CoffeeScript,2013-09-01,20603
Haskell,2013-09-01,16112
Java,2013-09-01,353913
Eiffel,2013-09-01,557
PHP,2013-09-01,252464
ActionScript,2013-09-01,4834
PowerShell,2013-08-01,2553
M,2013-08-01,302
Gosu,2013-08-01,237
Kotlin,2013-08-01,220
Fantom,2013-08-01,1
ABAP,2013-08-01,3
Pike,2013-08-01,2
PogoScript,2013-08-01,6
Rouge,2013-08-01,2
Nu,2013-08-01,10
Ada,2013-08-01,361
Scilab,2013-08-01,72
Clojure,2013-08-01,11569
CoffeeScript,2013-08-01,21996
ASP,2013-08-01,1923
C#,2013-08-01,67521
Processing,2013-08-01,1988
Max,2013-08-01,8
eC,2013-08-01,15
Shell,2013-08-01,107158
CSS,2013-08-01,260971
PHP,2013-08-01,261619
Ragel in Ruby Host,2013-08-01,12
Self,2013-08-01,1
C,2013-08-01,156760
,2013-08-01,375948
Perl,2013-08-01,33252
Common Lisp,2013-08-01,2857
JavaScript,2013-08-01,614155
C++,2013-08-01,177145
Python,2013-08-01,297989
Ruby,2013-08-01,301632
Fancy,2013-08-01,4
Java,2013-08-01,361296
Verilog,2013-08-01,1087
Dart,2013-08-01,2008
AutoHotkey,2013-08-01,698
Haxe,2013-08-01,1710
OpenEdge ABL,2013-08-01,567
SuperCollider,2013-08-01,479
Emacs Lisp,2013-08-01,15477
Go,2013-08-01,22773
Coq,2013-08-01,619
Nemerle,2013-08-01,225
Slash,2013-08-01,255
R,2013-08-01,11842
Forth,2013-08-01,22
Logtalk,2013-08-01,59
Factor,2013-08-01,171
Arc,2013-08-01,32
Pure Data,2013-08-01,164
TypeScript,2013-08-01,5025
ooc,2013-08-01,120
Racket,2013-08-01,1968
wisp,2013-08-01,21
Bro,2013-08-01,45
Puppet,2013-08-01,9085
MoonScript,2013-08-01,54
Rust,2013-08-01,3875
D,2013-08-01,4019
Elixir,2013-08-01,1936
ColdFusion,2013-08-01,1200
Assembly,2013-08-01,1892
Smalltalk,2013-08-01,383
XQuery,2013-08-01,229
Awk,2013-08-01,155
VHDL,2013-08-01,639
LiveScript,2013-08-01,623
Tcl,2013-08-01,713
AppleScript,2013-08-01,114
Standard ML,2013-08-01,451
Ceylon,2013-08-01,59
F#,2013-08-01,1139
XSLT,2013-08-01,3834
Eiffel,2013-08-01,331
Prolog,2013-08-01,1609
XML,2013-08-01,662
Augeas,2013-08-01,73
XC,2013-08-01,44
Objective-J,2013-08-01,139
CLIPS,2013-08-01,22
XProc,2013-08-01,42
Parrot,2013-08-01,122
Io,2013-08-01,91
Monkey,2013-08-01,42
Arduino,2013-08-01,3132
HaXe,2013-08-01,83
DOT,2013-08-01,1040
Scheme,2013-08-01,2966
Delphi,2013-08-01,2309
Vala,2013-08-01,861
Boo,2013-08-01,20
Lua,2013-08-01,13682
ActionScript,2013-08-01,5442
Erlang,2013-08-01,6591
Apex,2013-08-01,453
Objective-C,2013-08-01,50954
Mirah,2013-08-01,24
DCPU-16-01 ASM,2013-08-01,19
VimL,2013-08-01,36329
Groovy,2013-08-01,6525
Julia,2013-08-01,1784
Scala,2013-08-01,23465
Rebol,2013-08-01,59
Lasso,2013-08-01,319
Xtend,2013-08-01,131
Logos,2013-08-01,3226
Nimrod,2013-08-01,108
FORTRAN,2013-08-01,2334
OCaml,2013-08-01,4416
Matlab,2013-08-01,7979
Visual Basic,2013-08-01,2641
Haskell,2013-08-01,14959
Ecl,2013-08-01,51
Dylan,2013-08-01,157
Forth,2013-07-01,77
