repository_language,month,pushes
Inform 7,2014-07-01,130
JSONiq,2014-07-01,90
ANTLR,2014-07-01,97
Delphi,2014-07-01,7
wisp,2014-07-01,72
XProc,2014-07-01,6
MoonScript,2014-07-01,167
Squirrel,2014-07-01,195
Hy,2014-07-01,67
Propeller Spin,2014-07-01,234
Isabelle,2014-07-01,58
Forth,2014-07-01,66
Awk,2014-07-01,177
CLIPS,2014-07-01,39
Xojo,2014-07-01,27
Bro,2014-07-01,61
Nu,2014-07-01,28
Volt,2014-07-01,10
Alloy,2014-07-01,35
Brightscript,2014-07-01,109
Monkey,2014-07-01,97
Augeas,2014-07-01,35
Stata,2014-07-01,391
GAMS,2014-07-01,31
Glyph,2014-07-01,30
Ragel in Ruby Host,2014-07-01,7
REALbasic,2014-07-01,38
GAP,2014-07-01,390
Slash,2014-07-01,86
Zephir,2014-07-01,16
Mirah,2014-07-01,27
Pike,2014-07-01,178
Pan,2014-07-01,52
Logtalk,2014-07-01,100
ooc,2014-07-01,83
J,2014-07-01,70
Pure Data,2014-07-01,520
Dylan,2014-07-01,110
Io,2014-07-01,176
ABAP,2014-07-01,158
DOT,2014-07-01,388
Component Pascal,2014-07-01,159
XML,2014-07-01,82
PAWN,2014-07-01,230
SuperCollider,2014-07-01,275
SourcePawn,2014-07-01,1009
Elm,2014-07-01,489
COBOL,2014-07-01,163
ColdFusion,2014-07-01,2061
Logos,2014-07-01,696
Apex,2014-07-01,824
IDL,2014-07-01,1850
FORTRAN,2014-07-01,3882
ActionScript,2014-07-01,5975
Kotlin,2014-07-01,722
Julia,2014-07-01,4923
Pascal,2014-07-01,3741
AspectJ,2014-07-01,81
OpenEdge ABL,2014-07-01,1170
VimL,2014-07-01,43032
Cuda,2014-07-01,957
DM,2014-07-01,2897
Objective-C++,2014-07-01,1392
nesC,2014-07-01,1013
Racket,2014-07-01,1806
Agda,2014-07-01,267
F#,2014-07-01,3658
Shell,2014-07-01,161110
Factor,2014-07-01,109
Coq,2014-07-01,921
SystemVerilog,2014-07-01,183
Nimrod,2014-07-01,313
Smalltalk,2014-07-01,990
Idris,2014-07-01,101
XC,2014-07-01,263
ATS,2014-07-01,111
Frege,2014-07-01,45
Game Maker Language,2014-07-01,923
Crystal,2014-07-01,196
Processing,2014-07-01,2988
AutoHotkey,2014-07-01,861
VHDL,2014-07-01,1224
Vala,2014-07-01,1676
M,2014-07-01,315
SQL,2014-07-01,2081
Mercury,2014-07-01,623
Common Lisp,2014-07-01,3155
VCL,2014-07-01,167
Scheme,2014-07-01,3871
CoffeeScript,2014-07-01,35540
Objective-C,2014-07-01,89619
Haxe,2014-07-01,2701
Haskell,2014-07-01,21887
Visual Basic,2014-07-01,4686
Swift,2014-07-01,11226
TeX,2014-07-01,34296
Lua,2014-07-01,27064
Arduino,2014-07-01,6484
Rust,2014-07-01,12203
Groovy,2014-07-01,14006
Matlab,2014-07-01,12934
Python,2014-07-01,523455
OCaml,2014-07-01,5280
Erlang,2014-07-01,7252
Go,2014-07-01,53928
Emacs Lisp,2014-07-01,18877
Scala,2014-07-01,36472
Mathematica,2014-07-01,1204
