repository_language,month,commits
Shen,2014-07-01,2
J,2014-07-01,78
Brightscript,2014-07-01,209
Frege,2014-07-01,136
Dogescript,2014-07-01,15
Dylan,2014-07-01,228
PAWN,2014-07-01,332
Inform 7,2014-07-01,234
CLIPS,2014-07-01,46
Moocode,2014-07-01,2
REALbasic,2014-07-01,126
COBOL,2014-07-01,217
Augeas,2014-07-01,100
Rebol,2014-07-01,170
Scilab,2014-07-01,152
XProc,2014-07-01,54
GAMS,2014-07-01,37
ooc,2014-07-01,112
Delphi,2014-07-01,63
Monkey,2014-07-01,118
Oxygene,2014-07-01,11
Zephir,2014-07-01,43
,2014-07-01,1818963
JSONiq,2014-07-01,135
Lasso,2014-07-01,143
SuperCollider,2014-07-01,341
Nu,2014-07-01,42
HaXe,2014-07-01,107
Grammatical Framework,2014-07-01,27
Clean,2014-07-01,15
Hy,2014-07-01,100
RobotFramework,2014-07-01,13
Xojo,2014-07-01,56
Bluespec,2014-07-01,371
Mirah,2014-07-01,95
Ecl,2014-07-01,139
Slash,2014-07-01,145
Factor,2014-07-01,380
Glyph,2014-07-01,36
Alloy,2014-07-01,37
JavaScript,2014-07-01,1987131
AutoHotkey,2014-07-01,1334
Xtend,2014-07-01,919
Logos,2014-07-01,1468
AspectJ,2014-07-01,127
Awk,2014-07-01,301
ATS,2014-07-01,150
E,2014-07-01,1
Nit,2014-07-01,1
Ioke,2014-07-01,1
Fancy,2014-07-01,1
DCPU-16-01 ASM,2014-07-01,7
Grace,2014-07-01,3
FLUX,2014-07-01,204
Parrot,2014-07-01,138
ABAP,2014-07-01,179
XQuery,2014-07-01,598
UnrealScript,2014-07-01,217
Pan,2014-07-01,258
PogoScript,2014-07-01,46
XML,2014-07-01,249
Pure Data,2014-07-01,621
Bro,2014-07-01,85
Component Pascal,2014-07-01,168
VCL,2014-07-01,225
SourcePawn,2014-07-01,1558
Arc,2014-07-01,98
Isabelle,2014-07-01,141
Crystal,2014-07-01,412
Pike,2014-07-01,182
DOT,2014-07-01,516
Kotlin,2014-07-01,1314
PureScript,2014-07-01,743
Volt,2014-07-01,18
Red,2014-07-01,181
AppleScript,2014-07-01,719
Tcl,2014-07-01,1816
SAS,2014-07-01,587
NetLogo,2014-07-01,278
Nimrod,2014-07-01,992
nesC,2014-07-01,1952
ANTLR,2014-07-01,176
XC,2014-07-01,295
xBase,2014-07-01,766
KRL,2014-07-01,340
BlitzBasic,2014-07-01,1796
Mercury,2014-07-01,836
Cirru,2014-07-01,9
Opa,2014-07-01,4
Turing,2014-07-01,14
Ragel in Ruby Host,2014-07-01,16
Forth,2014-07-01,84
Ox,2014-07-01,3
Self,2014-07-01,7
eC,2014-07-01,14
Fantom,2014-07-01,9
Io,2014-07-01,355
M,2014-07-01,467
Gosu,2014-07-01,1371
Cuda,2014-07-01,1768
Nix,2014-07-01,3217
Ceylon,2014-07-01,487
GAP,2014-07-01,493
wisp,2014-07-01,139
Smalltalk,2014-07-01,1941
Squirrel,2014-07-01,254
Boo,2014-07-01,35
Ada,2014-07-01,523
Stata,2014-07-01,615
Nemerle,2014-07-01,319
Gnuplot,2014-07-01,703
Idris,2014-07-01,280
Perl6,2014-07-01,608
Objective-J,2014-07-01,1176
BlitzMax,2014-07-01,145
IDL,2014-07-01,2755
Vala,2014-07-01,2915
R,2014-07-01,75875
Groovy,2014-07-01,25316
Matlab,2014-07-01,17899
C,2014-07-01,459340
Ruby,2014-07-01,751158
CSS,2014-07-01,758763
Perl,2014-07-01,73340
PHP,2014-07-01,742613
Python,2014-07-01,1016891
VimL,2014-07-01,65574
Lua,2014-07-01,48600
C++,2014-07-01,515337
Java,2014-07-01,1065219
OCaml,2014-07-01,11533
Shell,2014-07-01,253469
Elixir,2014-07-01,7491
Visual Basic,2014-07-01,6882
DM,2014-07-01,10934
Apex,2014-07-01,2010
F#,2014-07-01,8000
Dart,2014-07-01,12034
Coq,2014-07-01,1313
Processing,2014-07-01,4356
Prolog,2014-07-01,1385
Game Maker Language,2014-07-01,1412
Verilog,2014-07-01,2272
Scheme,2014-07-01,5901
VHDL,2014-07-01,2031
D,2014-07-01,10744
LiveScript,2014-07-01,3928
Erlang,2014-07-01,16724
Pascal,2014-07-01,5118
Julia,2014-07-01,14390
Haxe,2014-07-01,6222
Racket,2014-07-01,2998
Arduino,2014-07-01,9943
Swift,2014-07-01,30377
Mathematica,2014-07-01,1440
Eiffel,2014-07-01,1109
Go,2014-07-01,158225
Rust,2014-07-01,36671
Puppet,2014-07-01,21076
Haskell,2014-07-01,40944
Objective-C,2014-07-01,229552
FORTRAN,2014-07-01,6553
TypeScript,2014-07-01,27439
Scala,2014-07-01,91327
Assembly,2014-07-01,16211
TeX,2014-07-01,47229
Objective-C++,2014-07-01,2869
Common Lisp,2014-07-01,5144
CoffeeScript,2014-07-01,89511
Clojure,2014-07-01,31367
C#,2014-07-01,254236
ActionScript,2014-07-01,12499
PowerShell,2014-07-01,9422
Emacs Lisp,2014-07-01,30449
AutoIt,2014-07-01,428
SystemVerilog,2014-07-01,229
Elm,2014-07-01,798
ColdFusion,2014-07-01,3809
MoonScript,2014-07-01,410
Agda,2014-07-01,337
XSLT,2014-07-01,11176
Logtalk,2014-07-01,105
Max,2014-07-01,1131
SQL,2014-07-01,3088
Standard ML,2014-07-01,988
OpenEdge ABL,2014-07-01,2367
Propeller Spin,2014-07-01,382
ASP,2014-07-01,3843
Common Lisp,2014-06-01,5200
Dart,2014-06-01,8520
Boo,2014-06-01,32
Dogescript,2014-06-01,33
Lua,2014-06-01,42248
Rust,2014-06-01,29985
XSLT,2014-06-01,10927
Puppet,2014-06-01,21822
DM,2014-06-01,10119
Ada,2014-06-01,635
DOT,2014-06-01,496
DCPU-16-01 ASM,2014-06-01,6
Tcl,2014-06-01,2143
HaXe,2014-06-01,217
Objective-J,2014-06-01,1540
Ceylon,2014-06-01,399
Kotlin,2014-06-01,769
AspectJ,2014-06-01,149
Idris,2014-06-01,284
Pike,2014-06-01,113
Smalltalk,2014-06-01,2746
Pure Data,2014-06-01,477
J,2014-06-01,46
Emacs Lisp,2014-06-01,28763
Bro,2014-06-01,20
Self,2014-06-01,6
Cirru,2014-06-01,37
SystemVerilog,2014-06-01,208
Gosu,2014-06-01,1012
Agda,2014-06-01,622
AutoIt,2014-06-01,600
Verilog,2014-06-01,1888
Fancy,2014-06-01,7
SQL,2014-06-01,8103
Prolog,2014-06-01,593
D,2014-06-01,8256
Nimrod,2014-06-01,934
Visual Basic,2014-06-01,7396
Processing,2014-06-01,6182
Io,2014-06-01,211
ASP,2014-06-01,5428
Assembly,2014-06-01,5928
F#,2014-06-01,7040
Elixir,2014-06-01,5128
Vala,2014-06-01,2122
FORTRAN,2014-06-01,6448
Alloy,2014-06-01,41
Perl6,2014-06-01,453
PogoScript,2014-06-01,9
Opa,2014-06-01,10
Ox,2014-06-01,1
TXL,2014-06-01,1
TypeScript,2014-06-01,26627
ABAP,2014-06-01,15
FLUX,2014-06-01,68
Haxe,2014-06-01,7437
AppleScript,2014-06-01,1368
UnrealScript,2014-06-01,251
Mirah,2014-06-01,21
Swift,2014-06-01,40039
OpenEdge ABL,2014-06-01,1385
