repository_language,month,commits
C#,2014-03-01,212447
PHP,2014-03-01,743695
Scala,2014-03-01,74460
,2014-03-01,1756059
CSS,2014-03-01,671535
Lua,2014-03-01,33498
Perl,2014-03-01,69935
Lasso,2014-03-01,1891
C,2014-03-01,491779
Java,2014-03-01,1080747
Processing,2014-03-01,5202
C++,2014-03-01,479865
F#,2014-03-01,8688
Objective-C,2014-03-01,241192
Go,2014-03-01,92445
Common Lisp,2014-03-01,6334
nesC,2014-03-01,2715
Scheme,2014-03-01,4810
Rebol,2014-03-01,130
Tcl,2014-03-01,1483
ColdFusion,2014-03-01,2111
KRL,2014-03-01,3247
Perl6,2014-03-01,322
Apex,2014-03-01,1684
LiveScript,2014-03-01,2570
OpenEdge ABL,2014-03-01,837
Glyph,2014-03-01,84
Nu,2014-03-01,9
J,2014-03-01,37
Elixir,2014-03-01,3825
VHDL,2014-03-01,3425
Verilog,2014-03-01,2880
ASP,2014-03-01,5388
IDL,2014-03-01,2526
Eiffel,2014-03-01,1359
Arduino,2014-03-01,10238
DM,2014-03-01,10025
TypeScript,2014-03-01,29969
Groovy,2014-03-01,19753
Bluespec,2014-03-01,238
HaXe,2014-03-01,273
Crystal,2014-03-01,242
Dart,2014-03-01,13451
OCaml,2014-03-01,10386
Brightscript,2014-03-01,397
Racket,2014-03-01,3256
Matlab,2014-03-01,15956
Pascal,2014-03-01,4880
Max,2014-03-01,1331
XSLT,2014-03-01,9380
Emacs Lisp,2014-03-01,35184
Visual Basic,2014-03-01,6180
Haxe,2014-03-01,7496
ActionScript,2014-03-01,11920
FORTRAN,2014-03-01,5403
Delphi,2014-03-01,86
Fantom,2014-03-01,76
XProc,2014-03-01,104
NetLogo,2014-03-01,387
Prolog,2014-03-01,204
Logtalk,2014-03-01,108
Elm,2014-03-01,523
Oxygene,2014-03-01,84
UnrealScript,2014-03-01,345
wisp,2014-03-01,147
Parrot,2014-03-01,163
Ada,2014-03-01,648
ANTLR,2014-03-01,129
SuperCollider,2014-03-01,275
Pure Data,2014-03-01,607
DCPU-16-01 ASM,2014-03-01,53
Gosu,2014-03-01,466
Coq,2014-03-01,913
Rouge,2014-03-01,22
AppleScript,2014-03-01,1071
DOT,2014-03-01,1200
Ecl,2014-03-01,38
Smalltalk,2014-03-01,869
CLIPS,2014-03-01,187
Bro,2014-03-01,56
Forth,2014-03-01,64
Factor,2014-03-01,326
XQuery,2014-03-01,514
AutoHotkey,2014-03-01,1414
Pike,2014-03-01,167
Ragel in Ruby Host,2014-03-01,51
eC,2014-03-01,27
Volt,2014-03-01,29
Ioke,2014-03-01,43
TXL,2014-03-01,2
Awk,2014-02-01,213
COBOL,2014-02-01,146
XProc,2014-02-01,140
Coq,2014-02-01,962
Gosu,2014-02-01,497
Crystal,2014-02-01,214
ooc,2014-02-01,145
Squirrel,2014-02-01,182
Apex,2014-02-01,1997
xBase,2014-02-01,606
wisp,2014-02-01,39
UnrealScript,2014-02-01,541
Omgrofl,2014-02-01,21
MoonScript,2014-02-01,266
Rebol,2014-02-01,60
Self,2014-02-01,57
Pure Data,2014-02-01,343
ANTLR,2014-02-01,89
JavaScript,2014-02-01,1543424
CSS,2014-02-01,550908
Objective-C,2014-02-01,198225
,2014-02-01,1528955
Scilab,2014-02-01,258
Logtalk,2014-02-01,142
DCPU-16-01 ASM,2014-02-01,37
Factor,2014-02-01,258
Idris,2014-02-01,232
KRL,2014-02-01,2975
NetLogo,2014-02-01,297
Pike,2014-02-01,176
Bluespec,2014-02-01,215
Opa,2014-02-01,18
Oxygene,2014-02-01,65
Delphi,2014-02-01,114
Agda,2014-02-01,420
Io,2014-02-01,466
Eiffel,2014-02-01,214
Bro,2014-02-01,38
Forth,2014-02-01,13
Glyph,2014-02-01,18
Turing,2014-02-01,38
CLIPS,2014-02-01,58
Boo,2014-02-01,182
ABAP,2014-02-01,83
Ecl,2014-02-01,72
Ruby,2014-02-01,688583
Clean,2014-02-01,81
Fantom,2014-02-01,10
Volt,2014-02-01,22
Ioke,2014-02-01,1
Fancy,2014-02-01,39
Nu,2014-02-01,58
RobotFramework,2014-02-01,55
eC,2014-02-01,21
PogoScript,2014-02-01,75
TXL,2014-02-01,4
Scala,2014-02-01,67919
Elixir,2014-02-01,4770
FORTRAN,2014-02-01,4123
VHDL,2014-02-01,3359
XML,2014-02-01,1270
Haxe,2014-02-01,6639
Processing,2014-02-01,4362
ActionScript,2014-02-01,10840
nesC,2014-02-01,2994
AutoHotkey,2014-02-01,1818
Rust,2014-02-01,20293
TypeScript,2014-02-01,26126
Racket,2014-02-01,2527
VimL,2014-02-01,58263
Clojure,2014-02-01,31002
Verilog,2014-02-01,1615
TeX,2014-02-01,42996
Matlab,2014-02-01,13462
Lua,2014-02-01,33385
Go,2014-02-01,87744
Arduino,2014-02-01,8848
C#,2014-02-01,189842
Shell,2014-02-01,219466
F#,2014-02-01,6533
C++,2014-02-01,428745
PHP,2014-02-01,673980
Python,2014-02-01,892922
CoffeeScript,2014-02-01,72411
Java,2014-02-01,910866
Emacs Lisp,2014-02-01,29488
Visual Basic,2014-02-01,5581
Haskell,2014-02-01,30053
Xtend,2014-02-01,466
Groovy,2014-02-01,18700
Erlang,2014-02-01,17231
IDL,2014-02-01,2895
ASP,2014-02-01,4945
Brightscript,2014-02-01,629
Common Lisp,2014-02-01,6320
D,2014-02-01,11034
Scheme,2014-02-01,5483
DM,2014-02-01,8092
R,2014-02-01,33125
LiveScript,2014-02-01,2013
Dart,2014-02-01,12803
J,2014-02-01,87
Tcl,2014-02-01,1543
AutoIt,2014-02-01,435
Ada,2014-02-01,587
OCaml,2014-02-01,9492
XQuery,2014-02-01,587
Monkey,2014-02-01,50
Vala,2014-02-01,2374
Perl,2014-02-01,58988
Julia,2014-02-01,12893
Assembly,2014-02-01,6719
Puppet,2014-02-01,20144
XSLT,2014-02-01,7789
ColdFusion,2014-02-01,2759
BlitzBasic,2014-02-01,1617
Dylan,2014-02-01,385
Arc,2014-02-01,166
Perl6,2014-02-01,232
Nemerle,2014-02-01,249
Smalltalk,2014-02-01,954
Kotlin,2014-02-01,521
Augeas,2014-02-01,158
Ceylon,2014-02-01,225
Prolog,2014-02-01,310
Objective-J,2014-02-01,985
Pascal,2014-02-01,4269
Nimrod,2014-02-01,1034
SuperCollider,2014-02-01,277
DOT,2014-02-01,1251
HaXe,2014-02-01,241
OpenEdge ABL,2014-02-01,753
Standard ML,2014-02-01,1427
Max,2014-02-01,927
Logos,2014-02-01,1299
AppleScript,2014-02-01,1019
REALbasic,2014-02-01,145
Elm,2014-02-01,250
Mirah,2014-02-01,46
Ragel in Ruby Host,2014-02-01,54
C,2014-02-01,420197
Slash,2014-02-01,187
XC,2014-02-01,262
Lasso,2014-02-01,1606
M,2014-02-01,634
PowerShell,2014-02-01,5486
Parrot,2014-02-01,72
Elixir,2014-01-01,3855
Ada,2014-01-01,636
Lasso,2014-01-01,2085
R,2014-01-01,33002
Puppet,2014-01-01,19641
F#,2014-01-01,5952
Racket,2014-01-01,2885
Objective-C,2014-01-01,199228
Scheme,2014-01-01,5508
Common Lisp,2014-01-01,8431
TypeScript,2014-01-01,25456
DOT,2014-01-01,1532
ActionScript,2014-01-01,12218
D,2014-01-01,8819
LiveScript,2014-01-01,2495
Rouge,2014-01-01,5
Arduino,2014-01-01,7706
Monkey,2014-01-01,33
Rust,2014-01-01,19852
Vala,2014-01-01,2434
Forth,2014-01-01,41
Augeas,2014-01-01,106
Groovy,2014-01-01,16736
Pascal,2014-01-01,3799
DM,2014-01-01,9746
Julia,2014-01-01,12627
Assembly,2014-01-01,5520
Crystal,2014-01-01,253
Nimrod,2014-01-01,583
Smalltalk,2014-01-01,983
BlitzBasic,2014-01-01,1809
Xtend,2014-01-01,634
OpenEdge ABL,2014-01-01,958
IDL,2014-01-01,4090
AppleScript,2014-01-01,925
COBOL,2014-01-01,189
Factor,2014-01-01,169
Perl6,2014-01-01,386
Awk,2014-01-01,373
Tcl,2014-01-01,1720
ColdFusion,2014-01-01,2788
Prolog,2014-01-01,404
ooc,2014-01-01,255
Gosu,2014-01-01,395
Coq,2014-01-01,1083
Scilab,2014-01-01,271
XC,2014-01-01,317
Agda,2014-01-01,440
Io,2014-01-01,804
Haxe,2014-01-01,6558
Ceylon,2014-01-01,431
Dart,2014-01-01,12328
Visual Basic,2014-01-01,5301
Verilog,2014-01-01,1631
FORTRAN,2014-01-01,3841
HaXe,2014-01-01,249
XSLT,2014-01-01,10028
Slash,2014-01-01,438
Erlang,2014-01-01,16465
Processing,2014-01-01,5730
Mirah,2014-01-01,102
VHDL,2014-01-01,3112
Eiffel,2014-01-01,491
Logos,2014-01-01,1930
Pike,2014-01-01,122
AutoHotkey,2014-01-01,1301
ASP,2014-01-01,3760
XML,2014-01-01,1726
Nemerle,2014-01-01,218
Self,2014-01-01,99
ANTLR,2014-01-01,118
Boo,2014-01-01,105
Elm,2014-01-01,458
Ioke,2014-01-01,3
CLIPS,2014-01-01,76
Fantom,2014-01-01,17
Rebol,2014-01-01,4
AutoIt,2014-01-01,529
Dylan,2014-01-01,613
M,2014-01-01,679
Volt,2014-01-01,21
Glyph,2014-01-01,19
Logtalk,2014-01-01,136
eC,2014-01-01,1
Arc,2014-01-01,141
Oxygene,2014-01-01,217
Objective-J,2014-01-01,799
wisp,2014-01-01,1
RobotFramework,2014-01-01,1
Nu,2014-01-01,29
Apex,2014-01-01,1107
J,2014-01-01,19
Delphi,2014-01-01,127
REALbasic,2014-01-01,105
Brightscript,2014-01-01,399
Ragel in Ruby Host,2014-01-01,54
Omgrofl,2014-01-01,4
Pure Data,2014-01-01,219
XQuery,2014-01-01,651
Haskell,2014-01-01,32630
Ecl,2014-01-01,60
KRL,2014-01-01,36
Bluespec,2014-01-01,209
NetLogo,2014-01-01,151
Bro,2014-01-01,53
DCPU-16-01 ASM,2014-01-01,88
MoonScript,2014-01-01,201
Opa,2014-01-01,9
Idris,2014-01-01,208
UnrealScript,2014-01-01,640
Clojure,2014-01-01,39420
Standard ML,2014-01-01,985
Fancy,2014-01-01,4
ABAP,2014-01-01,12
Clean,2014-01-01,48
Squirrel,2014-01-01,199
XProc,2014-01-01,146
Parrot,2014-01-01,109
Turing,2014-01-01,24
Kotlin,2014-01-01,347
SuperCollider,2014-01-01,303
xBase,2014-01-01,609
Emacs Lisp,2014-01-01,32749
Lua,2014-01-01,37203
Matlab,2014-01-01,13148
VimL,2014-01-01,60580
OCaml,2014-01-01,11240
Scala,2014-01-01,62318
Perl,2014-01-01,66393
CoffeeScript,2014-01-01,64459
nesC,2014-01-01,3024
TXL,2014-01-01,1
Max,2014-01-01,815
,2014-01-01,1488215
C,2014-01-01,399192
C++,2014-01-01,409684
JavaScript,2014-01-01,1562149
TeX,2014-01-01,43518
PHP,2014-01-01,696049
Python,2014-01-01,767315
Java,2014-01-01,891887
PogoScript,2014-01-01,46
CSS,2014-01-01,510044
Ruby,2014-01-01,693342
Shell,2014-01-01,217828
PowerShell,2014-01-01,5696
Go,2014-01-01,86976
C#,2014-01-01,190330
Perl6,2013-12-01,74
Crystal,2013-12-01,45
Pure Data,2013-12-01,279
Apex,2013-12-01,653
eC,2013-12-01,4
XC,2013-12-01,301
Boo,2013-12-01,164
Awk,2013-12-01,309
Mirah,2013-12-01,55
Max,2013-12-01,743
COBOL,2013-12-01,122
Agda,2013-12-01,316
Self,2013-12-01,11
Pike,2013-12-01,99
Tcl,2013-12-01,1390
REALbasic,2013-12-01,37
Scilab,2013-12-01,155
Turing,2013-12-01,4
AutoIt,2013-12-01,334
Delphi,2013-12-01,134
Augeas,2013-12-01,99
Elm,2013-12-01,365
Ioke,2013-12-01,2
MoonScript,2013-12-01,159
UnrealScript,2013-12-01,306
Bro,2013-12-01,50
M,2013-12-01,561
Brightscript,2013-12-01,417
Gosu,2013-12-01,308
XQuery,2013-12-01,628
Oxygene,2013-12-01,1986
OpenEdge ABL,2013-12-01,887
XSLT,2013-12-01,6600
CSS,2013-12-01,442797
Python,2013-12-01,637533
Perl,2013-12-01,56078
ANTLR,2013-12-01,32
PogoScript,2013-12-01,46
Rebol,2013-12-01,22
Fantom,2013-12-01,9
Prolog,2013-12-01,2907
D,2013-12-01,9145
C,2013-12-01,370305
XML,2013-12-01,1416
nesC,2013-12-01,1595
Dylan,2013-12-01,350
Objective-J,2013-12-01,927
Assembly,2013-12-01,4637
Matlab,2013-12-01,15966
Ceylon,2013-12-01,439
RobotFramework,2013-12-01,3
PowerShell,2013-12-01,4727
XProc,2013-12-01,88
Common Lisp,2013-12-01,4931
Scheme,2013-12-01,3482
Nemerle,2013-12-01,356
ColdFusion,2013-12-01,1871
FORTRAN,2013-12-01,3090
Julia,2013-12-01,9505
Standard ML,2013-12-01,1067
F#,2013-12-01,5872
Arc,2013-12-01,139
BlitzBasic,2013-12-01,1058
Volt,2013-12-01,12
ABAP,2013-12-01,4
CLIPS,2013-12-01,40
Clean,2013-12-01,16
PHP,2013-12-01,561561
,2013-12-01,1320263
C#,2013-12-01,167440
JavaScript,2013-12-01,1381737
Vala,2013-12-01,2111
Go,2013-12-01,73630
Rust,2013-12-01,13943
Emacs Lisp,2013-12-01,28678
Pascal,2013-12-01,2266
Groovy,2013-12-01,14066
Io,2013-12-01,240
Ada,2013-12-01,630
OCaml,2013-12-01,11770
R,2013-12-01,23152
Arduino,2013-12-01,6964
Logos,2013-12-01,7288
Haxe,2013-12-01,4899
IDL,2013-12-01,418
ActionScript,2013-12-01,12849
Dart,2013-12-01,8643
Ragel in Ruby Host,2013-12-01,67
Erlang,2013-12-01,15822
Puppet,2013-12-01,17178
Scala,2013-12-01,50984
AppleScript,2013-12-01,564
ASP,2013-12-01,3916
Objective-C,2013-12-01,176374
Java,2013-12-01,808408
Haskell,2013-12-01,26746
Visual Basic,2013-12-01,4475
C++,2013-12-01,384200
Ruby,2013-12-01,624962
VimL,2013-12-01,54964
Racket,2013-12-01,2446
Lasso,2013-12-01,2315
TypeScript,2013-12-01,18468
TeX,2013-12-01,36566
Shell,2013-12-01,205127
CoffeeScript,2013-12-01,56593
Lua,2013-12-01,30073
Clojure,2013-12-01,25179
DOT,2013-12-01,1666
KRL,2013-12-01,144
Eiffel,2013-12-01,450
LiveScript,2013-12-01,1926
Verilog,2013-12-01,2127
Monkey,2013-12-01,25
J,2013-12-01,36
Bluespec,2013-12-01,196
Opa,2013-12-01,9
Squirrel,2013-12-01,190
Logtalk,2013-12-01,98
Factor,2013-12-01,136
Fancy,2013-12-01,6
SuperCollider,2013-12-01,388
TXL,2013-12-01,17
Kotlin,2013-12-01,279
Ecl,2013-12-01,27
Forth,2013-12-01,13
Parrot,2013-12-01,75
Nu,2013-12-01,18
Idris,2013-12-01,138
DM,2013-12-01,6292
AutoHotkey,2013-12-01,1058
Processing,2013-12-01,5250
Xtend,2013-12-01,311
Nimrod,2013-12-01,991
xBase,2013-12-01,268
ooc,2013-12-01,146
HaXe,2013-12-01,360
NetLogo,2013-12-01,179
Smalltalk,2013-12-01,765
wisp,2013-12-01,21
Glyph,2013-12-01,30
Slash,2013-12-01,245
VHDL,2013-12-01,2101
Coq,2013-12-01,1365
DCPU-16-01 ASM,2013-12-01,47
Elixir,2013-12-01,3990
ASP,2013-11-01,6549
Matlab,2013-11-01,17332
Coq,2013-11-01,1263
Lasso,2013-11-01,2200
ColdFusion,2013-11-01,2620
DOT,2013-11-01,1794
Tcl,2013-11-01,1601
Parrot,2013-11-01,147
Apex,2013-11-01,769
XC,2013-11-01,397
Eiffel,2013-11-01,441
Scheme,2013-11-01,3541
Objective-J,2013-11-01,459
Arduino,2013-11-01,7024
Processing,2013-11-01,4748
F#,2013-11-01,4553
Racket,2013-11-01,4161
Java,2013-11-01,875921
R,2013-11-01,24021
Go,2013-11-01,71561
Puppet,2013-11-01,21648
Scala,2013-11-01,58120
Logos,2013-11-01,10493
Elixir,2013-11-01,3227
Lua,2013-11-01,27268
Perl,2013-11-01,62556
Visual Basic,2013-11-01,4313
PowerShell,2013-11-01,5272
Dart,2013-11-01,9413
Pascal,2013-11-01,3653
TypeScript,2013-11-01,14712
Nemerle,2013-11-01,480
PHP,2013-11-01,598225
C#,2013-11-01,176557
Common Lisp,2013-11-01,5295
Prolog,2013-11-01,5069
Groovy,2013-11-01,15291
Julia,2013-11-01,7962
M,2013-11-01,879
Haskell,2013-11-01,26753
C,2013-11-01,375615
Ruby,2013-11-01,668881
Shell,2013-11-01,205641
Clojure,2013-11-01,25667
VHDL,2013-11-01,2518
OpenEdge ABL,2013-11-01,2111
C++,2013-11-01,406841
ActionScript,2013-11-01,13388
Standard ML,2013-11-01,1136
Erlang,2013-11-01,16196
Emacs Lisp,2013-11-01,27801
XSLT,2013-11-01,7400
CoffeeScript,2013-11-01,56970
VimL,2013-11-01,54379
AppleScript,2013-11-01,362
Assembly,2013-11-01,4600
Smalltalk,2013-11-01,710
OCaml,2013-11-01,10250
Haxe,2013-11-01,4591
LiveScript,2013-11-01,1467
Kotlin,2013-11-01,400
JavaScript,2013-11-01,1424425
Verilog,2013-11-01,2601
CSS,2013-11-01,461339
FORTRAN,2013-11-01,4185
Rust,2013-11-01,12784
Objective-C,2013-11-01,184538
Vala,2013-11-01,1990
AutoHotkey,2013-11-01,1294
SuperCollider,2013-11-01,825
Xtend,2013-11-01,538
,2013-11-01,1602574
Ecl,2013-11-01,63
Python,2013-11-01,681871
D,2013-11-01,8765
HaXe,2013-11-01,265
XQuery,2013-11-01,581
Ada,2013-11-01,661
Rebol,2013-11-01,29
Augeas,2013-11-01,77
Pike,2013-11-01,83
Boo,2013-11-01,155
Ragel in Ruby Host,2013-11-01,73
Arc,2013-11-01,46
XML,2013-11-01,967
Forth,2013-11-01,59
Dylan,2013-11-01,300
Scilab,2013-11-01,190
Io,2013-11-01,330
J,2013-11-01,64
COBOL,2013-11-01,29
Awk,2013-11-01,297
Factor,2013-11-01,751
eC,2013-11-01,1
Rouge,2013-11-01,8
ooc,2013-11-01,57
Nimrod,2013-11-01,603
Ceylon,2013-11-01,532
Gosu,2013-11-01,221
Monkey,2013-11-01,8
Logtalk,2013-11-01,79
Squirrel,2013-11-01,364
Bro,2013-11-01,78
ABAP,2013-11-01,21
MoonScript,2013-11-01,83
Elm,2013-11-01,404
Delphi,2013-11-01,327
XProc,2013-11-01,65
Pure Data,2013-11-01,445
Turing,2013-11-01,8
CLIPS,2013-11-01,19
Slash,2013-11-01,433
Fantom,2013-11-01,2
Volt,2013-11-01,6
Ioke,2013-11-01,1
Omgrofl,2013-11-01,1
Nu,2013-11-01,23
DCPU-16-01 ASM,2013-11-01,33
Self,2013-11-01,24
Max,2013-11-01,21
Opa,2013-11-01,3
wisp,2013-11-01,15
TXL,2013-11-01,2
PogoScript,2013-11-01,36
Mirah,2013-11-01,13
Fancy,2013-11-01,19
Fancy,2013-10-01,125
VHDL,2013-10-01,2814
Vala,2013-10-01,2037
DOT,2013-10-01,1931
Prolog,2013-10-01,2783
OpenEdge ABL,2013-10-01,1571
AutoHotkey,2013-10-01,1070
Kotlin,2013-10-01,377
D,2013-10-01,8435
SuperCollider,2013-10-01,631
Delphi,2013-10-01,482
Nimrod,2013-10-01,591
ASP,2013-10-01,4574
Racket,2013-10-01,4056
R,2013-10-01,24095
FORTRAN,2013-10-01,3807
Eiffel,2013-10-01,785
Bro,2013-10-01,102
PowerShell,2013-10-01,4460
Verilog,2013-10-01,1892
Common Lisp,2013-10-01,5247
Coq,2013-10-01,772
Ceylon,2013-10-01,479
Tcl,2013-10-01,1175
C#,2013-10-01,163217
C,2013-10-01,354404
Java,2013-10-01,805854
Lua,2013-10-01,25980
Ruby,2013-10-01,696374
JavaScript,2013-10-01,1432415
PHP,2013-10-01,600395
Objective-C,2013-10-01,181471
Perl,2013-10-01,69534
Python,2013-10-01,688247
Shell,2013-10-01,213925
XSLT,2013-10-01,7408
C++,2013-10-01,401686
CSS,2013-10-01,440075
Matlab,2013-10-01,14841
LiveScript,2013-10-01,944
Puppet,2013-10-01,25641
Clojure,2013-10-01,28954
Awk,2013-10-01,301
CoffeeScript,2013-10-01,53367
Emacs Lisp,2013-10-01,29700
Processing,2013-10-01,3976
Scala,2013-10-01,67129
Haskell,2013-10-01,30116
Logos,2013-10-01,7423
Dart,2013-10-01,6421
Julia,2013-10-01,8126
Pascal,2013-10-01,4244
Assembly,2013-10-01,3731
Standard ML,2013-10-01,1456
Groovy,2013-10-01,17054
Scheme,2013-10-01,4145
Haxe,2013-10-01,3990
Arduino,2013-10-01,6092
Elixir,2013-10-01,3980
ActionScript,2013-10-01,12875
Rust,2013-10-01,14086
Go,2013-10-01,65292
OCaml,2013-10-01,9502
TypeScript,2013-10-01,13090
F#,2013-10-01,4194
ColdFusion,2013-10-01,2741
VimL,2013-10-01,54481
Visual Basic,2013-10-01,5502
Erlang,2013-10-01,16675
,2013-10-01,1634146
DCPU-16-01 ASM,2013-10-01,8
ABAP,2013-10-01,6
PogoScript,2013-10-01,14
Squirrel,2013-10-01,118
Opa,2013-10-01,8
Pike,2013-10-01,41
CLIPS,2013-10-01,44
Ecl,2013-10-01,93
Fantom,2013-10-01,13
Logtalk,2013-10-01,86
Augeas,2013-10-01,74
Turing,2013-10-01,3
Dylan,2013-10-01,93
MoonScript,2013-10-01,77
Factor,2013-10-01,185
Boo,2013-10-01,109
Mirah,2013-10-01,13
Monkey,2013-10-01,28
Elm,2013-10-01,29
Ragel in Ruby Host,2013-10-01,34
wisp,2013-10-01,1
Max,2013-10-01,12
Rebol,2013-10-01,34
Self,2013-10-01,18
Volt,2013-10-01,4
Ioke,2013-10-01,3
eC,2013-10-01,1
Gosu,2013-10-01,360
Pure Data,2013-10-01,210
Apex,2013-10-01,909
XML,2013-10-01,1158
Nemerle,2013-10-01,653
Slash,2013-10-01,615
M,2013-10-01,691
Nu,2013-10-01,22
AppleScript,2013-10-01,404
Ada,2013-10-01,1094
XC,2013-10-01,584
XQuery,2013-10-01,419
Xtend,2013-10-01,347
Lasso,2013-10-01,1621
Io,2013-10-01,312
Smalltalk,2013-10-01,1098
HaXe,2013-10-01,375
COBOL,2013-10-01,24
Parrot,2013-10-01,445
Arc,2013-10-01,68
Objective-J,2013-10-01,555
Forth,2013-10-01,42
ooc,2013-10-01,82
XProc,2013-10-01,51
Scilab,2013-10-01,216
Rouge,2013-09-01,2
CLIPS,2013-09-01,9
Fancy,2013-09-01,19
Gosu,2013-09-01,256
Fantom,2013-09-01,1
Forth,2013-09-01,35
Turing,2013-09-01,1
Groovy,2013-09-01,11404
COBOL,2013-09-01,5
ABAP,2013-09-01,9
wisp,2013-09-01,3
PogoScript,2013-09-01,6
Augeas,2013-09-01,50
Pike,2013-09-01,29
Max,2013-09-01,13
ooc,2013-09-01,17
Monkey,2013-09-01,23
Nu,2013-09-01,13
Ragel in Ruby Host,2013-09-01,20
Slash,2013-09-01,354
Logtalk,2013-09-01,99
Scilab,2013-09-01,198
Xtend,2013-09-01,180
Nimrod,2013-09-01,249
AppleScript,2013-09-01,433
MoonScript,2013-09-01,86
Factor,2013-09-01,201
XML,2013-09-01,882
Squirrel,2013-09-01,126
M,2013-09-01,360
Self,2013-09-01,40
Kotlin,2013-09-01,295
Boo,2013-09-01,41
Ceylon,2013-09-01,163
HaXe,2013-09-01,357
Bro,2013-09-01,33
Rebol,2013-09-01,30
Ecl,2013-09-01,78
eC,2013-09-01,38
XProc,2013-09-01,52
Dylan,2013-09-01,113
XC,2013-09-01,117
Io,2013-09-01,147
Arc,2013-09-01,44
Parrot,2013-09-01,312
DCPU-16-01 ASM,2013-09-01,190
Mirah,2013-09-01,27
Pure Data,2013-09-01,200
Opa,2013-09-01,53
FORTRAN,2013-09-01,3199
Standard ML,2013-09-01,740
F#,2013-09-01,2112
OpenEdge ABL,2013-09-01,839
AutoHotkey,2013-09-01,980
Julia,2013-09-01,5081
Vala,2013-09-01,2034
Smalltalk,2013-09-01,778
Coq,2013-09-01,723
Puppet,2013-09-01,17511
Processing,2013-09-01,3044
LiveScript,2013-09-01,609
OCaml,2013-09-01,8088
PowerShell,2013-09-01,3666
Apex,2013-09-01,740
Rust,2013-09-01,12029
Haxe,2013-09-01,3738
VHDL,2013-09-01,1475
Tcl,2013-09-01,973
Lasso,2013-09-01,950
Common Lisp,2013-09-01,4121
Pascal,2013-09-01,1439
Eiffel,2013-09-01,1510
Assembly,2013-09-01,3145
DOT,2013-09-01,1615
XQuery,2013-09-01,391
Awk,2013-09-01,268
Ada,2013-09-01,456
SuperCollider,2013-09-01,692
Verilog,2013-09-01,1384
Haskell,2013-09-01,26992
ActionScript,2013-09-01,9629
Erlang,2013-09-01,14800
Nemerle,2013-09-01,538
Lua,2013-09-01,24434
Perl,2013-09-01,55158
CoffeeScript,2013-09-01,46678
Clojure,2013-09-01,21607
Arduino,2013-09-01,5520
Emacs Lisp,2013-09-01,24604
Visual Basic,2013-09-01,4570
Racket,2013-09-01,3410
Prolog,2013-09-01,2329
Dart,2013-09-01,4325
VimL,2013-09-01,49220
Scala,2013-09-01,85066
Objective-J,2013-09-01,243
Elixir,2013-09-01,3299
Scheme,2013-09-01,2911
Logos,2013-09-01,4645
ASP,2013-09-01,2554
Matlab,2013-09-01,11284
D,2013-09-01,6469
Go,2013-09-01,50543
C++,2013-09-01,299493
Ruby,2013-09-01,541035
Java,2013-09-01,623504
JavaScript,2013-09-01,1157436
CSS,2013-09-01,337288
C#,2013-09-01,121198
C,2013-09-01,290287
Objective-C,2013-09-01,138213
PHP,2013-09-01,481013
TypeScript,2013-09-01,10292
Delphi,2013-09-01,2794
Shell,2013-09-01,153538
ColdFusion,2013-09-01,2784
Python,2013-09-01,549521
XSLT,2013-09-01,5896
R,2013-09-01,17422
,2013-09-01,1367192
Ecl,2013-08-01,79
Pure Data,2013-08-01,257
wisp,2013-08-01,26
ooc,2013-08-01,179
XProc,2013-08-01,72
eC,2013-08-01,17
MoonScript,2013-08-01,65
Monkey,2013-08-01,53
CLIPS,2013-08-01,30
Bro,2013-08-01,65
Scilab,2013-08-01,98
Dylan,2013-08-01,443
Ada,2013-08-01,461
PogoScript,2013-08-01,10
HaXe,2013-08-01,290
Kotlin,2013-08-01,407
Vala,2013-08-01,1697
XQuery,2013-08-01,395
Boo,2013-08-01,46
DCPU-16-01 ASM,2013-08-01,33
Fancy,2013-08-01,8
Ragel in Ruby Host,2013-08-01,18
Self,2013-08-01,4
Arc,2013-08-01,81
Augeas,2013-08-01,155
XC,2013-08-01,48
Forth,2013-08-01,23
Nu,2013-08-01,13
Ceylon,2013-08-01,101
ABAP,2013-08-01,9
Max,2013-08-01,10
Pike,2013-08-01,6
Fantom,2013-08-01,2
Omgrofl,2013-08-01,3
Turing,2013-08-01,2
Opa,2013-08-01,3
Rouge,2013-08-01,4
Nemerle,2013-08-01,372
VimL,2013-08-01,57548
Scala,2013-08-01,112932
CoffeeScript,2013-08-01,50615
Arduino,2013-08-01,4639
TypeScript,2013-08-01,10813
XML,2013-08-01,1265
Haskell,2013-08-01,28037
Rust,2013-08-01,14105
Scheme,2013-08-01,5317
Assembly,2013-08-01,3083
LiveScript,2013-08-01,1298
Clojure,2013-08-01,24171
Common Lisp,2013-08-01,4518
CSS,2013-08-01,363979
PowerShell,2013-08-01,4139
,2013-08-01,1241579
C#,2013-08-01,128184
C,2013-08-01,300080
Objective-C,2013-08-01,143228
Java,2013-08-01,632565
ActionScript,2013-08-01,11339
Processing,2013-08-01,2915
ColdFusion,2013-08-01,2257
D,2013-08-01,7736
Visual Basic,2013-08-01,4198
Erlang,2013-08-01,17796
XSLT,2013-08-01,6538
VHDL,2013-08-01,1179
Mirah,2013-08-01,74
R,2013-08-01,17577
Haxe,2013-08-01,4126
JavaScript,2013-08-01,1244973
Emacs Lisp,2013-08-01,25948
