repository_language,month,public_repos
XQuery,2013-02,1
Scheme,2013-02,1
Ada,2013-02,1
Vala,2013-02,1
Java,2013-02,384
Puppet,2013-02,16
Perl,2013-02,26
Groovy,2013-02,8
Shell,2013-02,106
Visual Basic,2013-02,2
Clojure,2013-02,20
Standard ML,2013-02,5
C++,2013-02,133
Haskell,2013-02,12
OCaml,2013-02,4
JavaScript,2013-02,924
PHP,2013-02,336
,2013-02,1292
Dart,2013-02,1
Ruby,2013-02,622
R,2013-02,14
ooc,2013-02,1
F#,2013-02,2
AppleScript,2013-01,1
Standard ML,2013-01,1
F#,2013-01,3
OCaml,2013-01,2
Delphi,2013-01,2
Apex,2013-01,2
Tcl,2013-01,1
VHDL,2013-01,1
Prolog,2013-01,2
R,2013-01,6
XQuery,2013-01,1
ColdFusion,2013-01,2
Verilog,2013-01,1
Haskell,2013-01,17
Common Lisp,2013-01,6
Java,2013-01,405
C,2013-01,168
Matlab,2013-01,8
FORTRAN,2013-01,2
Go,2013-01,14
Shell,2013-01,59
Arduino,2013-01,6
Groovy,2013-01,10
C#,2013-01,96
D,2013-01,8
Objective-C,2013-01,202
Erlang,2013-01,11
ActionScript,2013-01,17
CoffeeScript,2013-01,50
Scheme,2013-01,3
Ruby,2013-01,570
Perl,2013-01,28
Racket,2013-01,2
Assembly,2013-01,6
Visual Basic,2013-01,6
Dart,2013-01,3
Clojure,2013-01,22
Puppet,2013-01,8
C++,2013-01,146
Coq,2013-01,1
Lua,2013-01,20
Emacs Lisp,2013-01,3
,2013-01,1043
Scala,2013-01,28
JavaScript,2013-01,927
OpenEdge ABL,2013-01,1
Python,2013-01,328
PowerShell,2013-01,2
VimL,2013-01,17
PHP,2013-01,335
Lua,2012-12,12
Groovy,2012-12,5
JavaScript,2012-12,818
Clojure,2012-12,13
Shell,2012-12,50
PHP,2012-12,299
Java,2012-12,354
,2012-12,508
Puppet,2012-12,8
C++,2012-12,120
FORTRAN,2012-12,2
ooc,2012-12,1
Emacs Lisp,2012-12,3
PowerShell,2012-12,1
VHDL,2012-12,1
ActionScript,2012-12,22
Erlang,2012-12,11
CoffeeScript,2012-12,57
Perl,2012-12,20
R,2012-12,3
Dart,2012-12,1
Prolog,2012-12,3
Ruby,2012-12,544
Go,2012-12,16
Racket,2012-12,2
Common Lisp,2012-12,2
C,2012-12,149
Standard ML,2012-12,1
Objective-C,2012-12,133
VimL,2012-12,17
Coq,2012-12,2
C#,2012-12,77
F#,2012-12,1
Arduino,2012-12,7
ASP,2012-12,1
Verilog,2012-12,3
D,2012-12,2
Scheme,2012-12,1
Tcl,2012-12,1
Python,2012-12,264
Scala,2012-12,35
Apex,2012-12,1
Assembly,2012-12,3
Matlab,2012-12,7
Haskell,2012-12,17
OCaml,2012-12,3
Boo,2012-11,1
PHP,2012-11,296
Ruby,2012-11,612
Java,2012-11,364
Emacs Lisp,2012-11,3
C#,2012-11,111
R,2012-11,7
Scheme,2012-11,4
FORTRAN,2012-11,1
,2012-11,533
Lua,2012-11,5
JavaScript,2012-11,853
OCaml,2012-11,3
Python,2012-11,351
Haskell,2012-11,25
Scala,2012-11,39
Matlab,2012-11,10
Assembly,2012-11,3
Julia,2012-11,1
ColdFusion,2012-11,1
Groovy,2012-11,11
Go,2012-11,22
Perl,2012-11,24
C++,2012-11,111
Clojure,2012-11,38
Verilog,2012-11,1
Common Lisp,2012-11,6
CoffeeScript,2012-11,63
ASP,2012-11,1
Objective-C,2012-11,161
VimL,2012-11,12
Rust,2012-11,1
ActionScript,2012-11,19
Apex,2012-11,1
Prolog,2012-11,7
Shell,2012-11,56
C,2012-11,122
Puppet,2012-11,9
Racket,2012-11,2
Arduino,2012-11,5
VHDL,2012-11,1
F#,2012-11,1
PowerShell,2012-11,3
Visual Basic,2012-11,5
D,2012-11,4
OpenEdge ABL,2012-11,1
Erlang,2012-11,7
PowerShell,2012-10,4
VHDL,2012-10,1
JavaScript,2012-10,889
C#,2012-10,96
Puppet,2012-10,9
Clojure,2012-10,24
Scheme,2012-10,7
Go,2012-10,27
OCaml,2012-10,3
C++,2012-10,126
FORTRAN,2012-10,1
ActionScript,2012-10,7
Prolog,2012-10,1
Scala,2012-10,34
Objective-C,2012-10,166
Ruby,2012-10,704
Haskell,2012-10,20
Erlang,2012-10,14
ASP,2012-10,2
Groovy,2012-10,6
ColdFusion,2012-10,2
Shell,2012-10,63
Lua,2012-10,3
Racket,2012-10,3
Dart,2012-10,1
Common Lisp,2012-10,3
Coq,2012-10,1
Visual Basic,2012-10,3
Verilog,2012-10,1
HaXe,2012-10,1
C,2012-10,119
D,2012-10,3
Assembly,2012-10,6
Arduino,2012-10,1
Matlab,2012-10,5
XQuery,2012-10,1
Perl,2012-10,26
,2012-10,594
PHP,2012-10,358
VimL,2012-10,20
Python,2012-10,309
Java,2012-10,344
CoffeeScript,2012-10,43
R,2012-10,13
Emacs Lisp,2012-10,3
Standard ML,2012-09,4
Verilog,2012-09,2
Julia,2012-09,1
Matlab,2012-09,12
Assembly,2012-09,3
CoffeeScript,2012-09,63
Racket,2012-09,5
OCaml,2012-09,2
Objective-C,2012-09,199
Shell,2012-09,54
Groovy,2012-09,11
Perl,2012-09,35
VimL,2012-09,23
ASP,2012-09,5
Common Lisp,2012-09,5
D,2012-09,6
C++,2012-09,174
Java,2012-09,400
Delphi,2012-09,2
Lua,2012-09,2
Emacs Lisp,2012-09,4
FORTRAN,2012-09,1
Scala,2012-09,18
Erlang,2012-09,9
PowerShell,2012-09,7
Clojure,2012-09,25
Prolog,2012-09,2
Haskell,2012-09,6
Puppet,2012-09,20
Apex,2012-09,4
Go,2012-09,18
Arduino,2012-09,1
C#,2012-09,101
Visual Basic,2012-09,1
VHDL,2012-09,4
XQuery,2012-09,1
Rust,2012-09,1
R,2012-09,13
ColdFusion,2012-09,5
C,2012-09,132
ActionScript,2012-09,23
PHP,2012-09,439
Ruby,2012-09,734
,2012-09,696
JavaScript,2012-09,1054
Python,2012-09,342
Assembly,2012-08,8
Perl,2012-08,66
Tcl,2012-08,6
Clojure,2012-08,38
Haskell,2012-08,36
VimL,2012-08,40
Arduino,2012-08,12
Emacs Lisp,2012-08,26
OCaml,2012-08,18
Erlang,2012-08,30
ASP,2012-08,2
Shell,2012-08,140
Scala,2012-08,82
Puppet,2012-08,22
C++,2012-08,302
Eiffel,2012-08,2
Common Lisp,2012-08,16
Boo,2012-08,2
Fancy,2012-08,4
R,2012-08,24
Julia,2012-08,8
Matlab,2012-08,10
Objective-C,2012-08,408
OpenEdge ABL,2012-08,4
Prolog,2012-08,2
Apex,2012-08,4
FORTRAN,2012-08,2
HaXe,2012-08,10
Scheme,2012-08,4
Groovy,2012-08,22
Verilog,2012-08,2
Racket,2012-08,4
PowerShell,2012-08,4
Java,2012-08,716
ActionScript,2012-08,60
Visual Basic,2012-08,4
ColdFusion,2012-08,18
Lua,2012-08,28
JavaScript,2012-08,2068
D,2012-08,8
C,2012-08,278
,2012-08,1460
Python,2012-08,624
Ruby,2012-08,1566
Go,2012-08,32
C#,2012-08,230
Vala,2012-08,4
PHP,2012-08,844
CoffeeScript,2012-08,120
Apex,2012-07,4
Assembly,2012-07,4
Matlab,2012-07,12
Go,2012-07,32
Gosu,2012-07,2
Standard ML,2012-07,2
D,2012-07,2
Common Lisp,2012-07,12
Scilab,2012-07,2
OCaml,2012-07,2
HaXe,2012-07,6
Rust,2012-07,4
Dart,2012-07,2
Arduino,2012-07,12
Visual Basic,2012-07,2
VHDL,2012-07,2
Lua,2012-07,16
R,2012-07,22
Emacs Lisp,2012-07,10
Erlang,2012-07,66
Perl,2012-07,22
ColdFusion,2012-07,2
Kotlin,2012-07,2
Haskell,2012-07,28
Scala,2012-07,34
VimL,2012-07,30
Groovy,2012-07,20
Objective-C,2012-07,236
ASP,2012-07,8
ActionScript,2012-07,28
Shell,2012-07,98
Python,2012-07,412
CoffeeScript,2012-07,96
PHP,2012-07,548
C,2012-07,128
JavaScript,2012-07,1312
Io,2012-07,2
PowerShell,2012-07,2
,2012-07,1040
Java,2012-07,468
C++,2012-07,204
Puppet,2012-07,12
Clojure,2012-07,32
Ruby,2012-07,1146
C#,2012-07,108
OpenEdge ABL,2012-07,2
,2012-06,1208
Ruby,2012-06,1632
Shell,2012-06,103
Tcl,2012-06,5
PHP,2012-06,650
Coq,2012-06,3
C,2012-06,203
Haskell,2012-06,36
CoffeeScript,2012-06,107
Python,2012-06,538
Scala,2012-06,64
Java,2012-06,631
Objective-C,2012-06,181
JavaScript,2012-06,1521
Common Lisp,2012-06,6
PowerShell,2012-06,42
ooc,2012-06,2
Lua,2012-06,10
Arduino,2012-06,4
R,2012-06,10
OCaml,2012-06,12
ColdFusion,2012-06,26
Julia,2012-06,2
ASP,2012-06,12
Scheme,2012-06,2
Prolog,2012-06,4
VimL,2012-06,39
Clojure,2012-06,41
Go,2012-06,21
Groovy,2012-06,30
Mirah,2012-06,3
Erlang,2012-06,37
Standard ML,2012-06,2
ActionScript,2012-06,33
Puppet,2012-06,16
C#,2012-06,189
Perl,2012-06,34
C++,2012-06,272
Assembly,2012-06,2
Matlab,2012-06,7
Emacs Lisp,2012-06,13
Delphi,2012-06,2
Visual Basic,2012-06,2
VHDL,2012-06,4
Objective-J,2012-06,6
Puppet,2012-05,12
Arc,2012-05,3
Assembly,2012-05,3
PowerShell,2012-05,3
Scala,2012-05,54
Haskell,2012-05,36
Verilog,2012-05,3
HaXe,2012-05,6
Clojure,2012-05,30
FORTRAN,2012-05,6
Matlab,2012-05,33
Apex,2012-05,3
Groovy,2012-05,27
Common Lisp,2012-05,18
Delphi,2012-05,6
VimL,2012-05,27
Mirah,2012-05,3
Prolog,2012-05,3
D,2012-05,9
VHDL,2012-05,3
Visual Basic,2012-05,9
C,2012-05,303
C++,2012-05,390
Java,2012-05,849
,2012-05,1443
Python,2012-05,615
Ruby,2012-05,1656
ActionScript,2012-05,60
PHP,2012-05,744
Lua,2012-05,6
Perl,2012-05,72
JavaScript,2012-05,1986
Shell,2012-05,132
Erlang,2012-05,45
ColdFusion,2012-05,6
Scheme,2012-05,3
CoffeeScript,2012-05,81
OCaml,2012-05,6
Objective-C,2012-05,315
Go,2012-05,18
R,2012-05,33
Standard ML,2012-05,3
Rust,2012-05,3
Coq,2012-05,3
C#,2012-05,198
Emacs Lisp,2012-05,15
ASP,2012-05,3
Go,2012-04,42
F#,2012-04,3
Objective-C,2012-04,384
R,2012-04,21
HaXe,2012-04,6
Matlab,2012-04,24
Assembly,2012-04,6
Scala,2012-04,54
Verilog,2012-04,3
C++,2012-04,270
DCPU-16 ASM,2012-04,3
Arduino,2012-04,12
Dart,2012-04,6
C#,2012-04,171
Common Lisp,2012-04,3
Perl,2012-04,63
Smalltalk,2012-04,3
PowerShell,2012-04,3
Lua,2012-04,15
Visual Basic,2012-04,6
Emacs Lisp,2012-04,30
Shell,2012-04,84
Scheme,2012-04,6
Haskell,2012-04,36
CoffeeScript,2012-04,99
Puppet,2012-04,27
OCaml,2012-04,18
D,2012-04,3
,2012-04,1455
Ruby,2012-04,1845
JavaScript,2012-04,1788
VimL,2012-04,54
Clojure,2012-04,30
Python,2012-04,720
PHP,2012-04,738
C,2012-04,279
Apex,2012-04,3
ActionScript,2012-04,36
Groovy,2012-04,15
Erlang,2012-04,48
Prolog,2012-04,9
ColdFusion,2012-04,3
Java,2012-04,651
Ada,2012-04,3
Emacs Lisp,2012-03,6
Scheme,2012-03,3
CoffeeScript,2012-03,81
Shell,2012-03,75
Lua,2012-03,15
Common Lisp,2012-03,9
ASP,2012-03,3
VimL,2012-03,42
Matlab,2012-03,27
Perl,2012-03,21
C,2012-03,255
ColdFusion,2012-03,3
HaXe,2012-03,3
R,2012-03,9
ActionScript,2012-03,33
Scala,2012-03,33
C++,2012-03,186
,2012-03,1125
Haskell,2012-03,15
Elixir,2012-03,3
Erlang,2012-03,33
Java,2012-03,450
C#,2012-03,123
Objective-C,2012-03,177
JavaScript,2012-03,1185
Python,2012-03,480
Ruby,2012-03,2076
PHP,2012-03,579
Visual Basic,2012-03,3
OCaml,2012-03,6
F#,2012-03,6
Assembly,2012-03,66
Puppet,2012-03,18
Opa,2012-03,3
Prolog,2012-03,3
Groovy,2012-03,33
Go,2012-03,15
Clojure,2012-03,36
